Game,away,away-record,awayaway-record,home,home-record,homehome-record,away-score,home-score,postseason info,Walks Issued - Away,Walks Issued - Home,Stolen Bases - Away,Stolen Bases - Home,Strikeouts Thrown - Away,Strikeouts Thrown - Home,Total Bases - Away,Total Bases - Home,Stadium,Date,Location,Odds,O/U,Attendance,Capacity,Duration,Umpires,WIN - Pitcher - Stats,WIN - Pitcher - Id,WIN - Pitcher - Name,WIN - Pitcher - AbbrName,WIN - Pitcher - Record,LOSS - Pitcher - Stats,LOSS - Pitcher - Id,LOSS - Pitcher - Name,LOSS - Pitcher - AbbrName,LOSS - Pitcher - Record,SAVE - Pitcher - Stats,SAVE - Pitcher - Id,SAVE - Pitcher - Name,SAVE - Pitcher - AbbrName,SAVE - Pitcher - Record,Extra Innings
360403123,STL,0-1,0-1 Away,PIT,Jan-00,1-0 Home,1,4,,5,5,0,0,5,14,5,13,PNC Park,2016-04-03T17:00Z,"Pittsburgh, Pennsylvania",,,"39,500","38,362",3:02,"Home Plate Umpire - Jerry Layne, First Base Umpire - Hunter Wendelstedt, Second Base Umpire - Tripp Gibson, Third Base Umpire - Clint  Fagan","6.0 IP, 0 ER, 10 K, 5 BB",6211,Francisco Liriano,F. Liriano,(1-0),"6.0 IP, 3 ER, 3 K, 3 BB",5403,Adam Wainwright,A. Wainwright,(0-1),,,,,,
,,,,,,,,,,,,,,,,,,,,15212,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Coverage: ESPN,,,,,,,,,,,,,,,,,,,,,,,,
